id,title,description,picture,price,category
1,"Ролл ""Томато""","Лосось, снежный краб, вяленые томаты, авокадо, сыр, микс соусов, кунжут, 6 шт.",dish1.jpg,370,sushi
2,Паста Карбонара,"Бекон, Лук репчатый, Сливки, Спагетти, Сыр пармезан, Черный перец, Чеснок",dish2.jpeg,339,pasta
3,"Ролл ""Трюфельный""","Лакедра, лосось, трюфельный сыр, авокадо, трюфельная паста, соус «Спайс», тобико, перец, кунжут, зеленый лук , 6 шт.",dish3.jpeg,395,sushi
4,Шаверма с цыпленком,"Капуста китайская, Куриная грудка, Лаваш армянский, Огурцы, Помидоры, Соус сливочный, Соус Черный перец",dish4.jpeg,270,streetfood
5,Паста Три мяса,"Бекон, Курица, Лук репчатый, Свинина, Сливки, Спагетти, Сыр пармезан, Чеснок",dish5.jpeg,329,pasta
6,Грин Карри,"Курица, креветки, зеленый карри, кокосовое молоко, шампиньоны, брокколи, цукини",dish6.jpeg,390,new
7,"Ролл ""Игай""","Лосось, мидии, огурец, перец гриль, зеленый лук, 6 шт.",dish7.jpeg,360,sushi
8,"Суши ""Желтохвост спайс""",Спайси хамачи,dish8.jpeg,95,sushi
9,"Ролл ""Курай""","Лосось, угорь, сыр, кунжут и острый соус, 6 шт.",dish9.jpeg,360,sushi
10,Пицца Маргарита классическая,"Базилик, Моцарелла, Помидоры, Томатный пицца-соус",dish10.jpeg,390,pizza
11,Бургер Бродвей,"Булочка с кунжутом белая, Говядина, Огурцы маринованные, Помидоры, Салат Айсберг, Соус барбекю, Соус сливочный, Сыр Чеддер",dish11.jpeg,312,streetfood
12,Паста с баклажанами,"Спагетти, баклажаны, пармезан, перец чили, чеснок, томатный соус, специи, зелень, базилик.",dish12.jpeg,250,pasta
13,"Спагетти с морепродуктами, запечённые в пергаменте по-лигурийски","Спагетти, салатные мидии, филе кальмара, тигровые креветки, лук порей, помидоры черри, чеснок, базилик, соус песто, кедровые орешки, пармезан.",dish13.jpeg,290,pasta
14,Пицца Карбонара классическая,"Бекон, Моцарелла, Соус сливочный, Сыр пармезан",dish14.jpeg,499,pizza
15,Пицца Барбекю классическая,"Колбаски охотничьи, Курица, Моцарелла, Соус барбекю, Томатный пицца-соус, укроп",dish15.jpeg,480,pizza
16,Паста с рагу из индейки и шпинатом,"Спагетти, индейка, сливки, шампиньоны, лук репчатый, пармезан, шпинат, чеснок.",dish16.jpeg,290,pasta
17,Буррито,"Капуста китайская, Курица, Лук красный, Моцарелла, Перец болгарский, Помидоры, Рис, Соус мексиканский, Тортилья, Фасоль красная",dish17.jpeg,289,streetfood
18,Бургер Гранд Каньон,"Булочка белая, Капуста китайская, Куриная грудка, Огурцы маринованные, Помидоры, Соус барбекю, Соус сливочный, Сыр Чеддер",dish18.jpeg,299,streetfood
19,Овощной салат с цыпленком,"Куриное филе, огурцы , помидоры, полба, пармезан, соус Цезарь, зелень, кинза, базилик, яйцо.",dish19.jpeg,250,new
20,Фреш-ролл с курицей,"Капуста китайская, Курица, Огурцы, Помидоры, Соус Тар-тар, Сыр пармезан, Тортилья",dish20.jpeg,269,streetfood
21,Харчо,"Говядина, лук репчатый, томатная паста, чеснок, рис, кинза, специи, зелень",dish21.jpeg,220,new
22,Пицца Деревенская классическая,"Бекон, Грибы шампиньоны, Лук красный, Моцарелла, Свинина, Томатный пицца-соус, укроп",dish22.jpeg,569,pizza
23,Ролл Такаши,"Угорь, огурец, чукка, рис, сливочный сыр, авокадо, кунжут, спайси соус, унаги соус.",dish23.jpeg,300,new
24,"Рис с овощами, свининой и шампиньонами с соусом удон","Рис, морковь, цукини, перец болгарский, китайская капуста, шампиньоны, свинина, кунжут, соус удон",dish24.jpeg,320,new
25,Пицца Четыре сыра классическая,"Моцарелла, Сливочный пицца-соус, Сыр Дор Блю, Сыр пармезан, Сыр Чеддер",dish25.jpeg,559,pizza
